测试结果               职业分类               职业项                                                          所需专业及代码            
ENTJ
              商业                                                                              
                                      神经病学家                                                        
                                      生物医学工程师                                                      生物医学100102，生物医学科学10
                                      心病学家                                                         临床医学类1002，临床医学10020
                                      药物学家                                                         药学类其他专业630399，蒙药学63
                                      药物研究员                                                        药学类其他专业630399，蒙药学63
                                      生物医学研究员
                                                     生物医学100102，生物医学科学10
                   专门职业                                                                            
                                      代理人：行政管理／诉讼                                                  
                                      管理顾问                                                         
                                      战略设计人                                                        工商企业管理620501，信息传播与策
                                      投资／商业分析家                                                     金融学类0203，金融学020301，
                                      经理                                                           公共管理类1204，公共关系学1204
                                      法官                                                           法律执行类6902，法律实务类其他专业
                                      新闻分析员／撰稿人                                                    新闻传播学类0503，新闻学05030
                                      工程师                                                          
                                      冶金工程师                                                        冶金工程080404         
                                      知识产权律师                                                       法律执行类6902，法律实务类其他专业
                                      土木工程师
                                                       土木类0810，土木工程081001，
                   创造性职业                                                                           
                                      作家／社论作家                                                      电影学130303，戏剧影视文学130
                                      艺术家                                                          艺术学理论类1301，艺术设计学130
                                      发明家                                                          
                                      设计人                                                          艺术学理论类1301，艺术设计学130
                                      建筑师                                                          建筑类0828，建筑学080201，建
                                      整体设计建筑师                                                      建筑类0828，建筑学080201，建
                                      信息制图设计师                                                      计算机0809，软件工程080902，
                                      自由媒体设计人                                                      艺术学理论类1301，艺术设计学130
                                      编辑／艺术指导
                                                     艺术学理论类1301，艺术设计学130
INFP
                                                                                              
                   创造性职业／艺术                                                                        
                                      艺术家                                                          艺术学理论类1301，艺术设计学130
                                      作家：诗人／小说家                                                    中国语言文学类0501，汉语言文学05
                                      记者                                                           新闻传播学类0503，新闻学05030
                                      娱乐人士                                                         
                                      建筑师                                                          建筑类0828，建筑学080201，建
                                      演员                                                           戏剧与影视学类1303，戏剧学1303
                                      编辑                                                           新闻传播学类0503，新闻学05030
                                      音乐家                                                          音乐与舞蹈学类1302，音乐学1302
                                      信息制图设计师                                                      计算机0809，软件工程080902，
                                      编辑／艺术指导(杂志)
                                                 艺术学理论类1301，艺术设计学130
                   教育／咨询职业                                                                         
                                      大学教授：人文／艺术                                                   艺术学理论类1301，艺术设计学130
                                      调研员                                                          
                                      心理学家                                                         应用心理学071102，心理学类071
                                      顾问                                                           
                                      社会工作者                                                        公共管理类1204，公共关系学1204
                                      图书管理员.教育顾问                                                   教育学04，教育学类0401，教育学0
                                      特殊教育老师                                                       教育学04，教育学类0401，教育学0
                                      双语种教育老师.儿童早期教育老师                                             教育学04，教育学类0401，教育学0
                                      雇员帮助顾问                                                       教育学04，教育学类0401，教育学0
                                      儿童福利顾问                                                       教育学04，教育学类0401，教育学0
                                      酒精和毒品禁戒顾问                                                    
                                      翻译／口译                                                        
                                      法律调停人                                                        法律执行类6902，法律实务类其他专业
                                      社会工作者(老年人和儿童日常护理问题)
                                         公共管理类1204，公共关系学1204
                   宗教职业                                                                            
                                      牧师                                                           
                                      宗教教育工作者                                                      教育学04，教育学类0401，教育学0
                                      传教士                                                          
