"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
		"法律调查员"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"律师秘书"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"电工"	
		"工程师"	"环境工程082502，环保类6001"
		"机械师"	"机械制造580102，机电一体化580201，汽车类5804，制冷550205，机械类802"
		"计算机程序设计员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"科学作家"	"戏剧与影视学类1303，戏剧学130302，戏剧影视导演130306，戏剧影视表演670209"
		"律师秘书／律师专职助手"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"药品经销商／调查员"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"脑电图技术专家／技师"	"计算机0809，软件工程080902"
		"地质学家"	"矿产地质与勘察540106，地质类0814，矿物资源工程081505，采矿工程081501"
		"气象学家"	"气象类6002，应用气象学070602，应用气象技术600203"
		"航空机械师"	"飞行技术081805，飞行器设计与工程082002，飞行器维修技术520516"
		"机械／工业／电子工程师"	"机械制造580102，机电一体化580201，汽车类5804，制冷550205，机械类802"
		"农业科学家
"	"农学090101，水土保持与荒漠化防治090203，土地整治工程082306，农业工程类0823，农业机械化及其自动化082302，农业技术类5101，农业技术类其他专业510199"
	"保健"		
		"兽医"	"动物药学090402，动物医学510310，动物医学类0904，动物医学090401"
		"普通外科医师"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"牙医"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
		"护理指导员"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"保健指导员"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"药剂师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
